Survived,Pclass,Age,Fare,Sex,Embarked
1,3 класс,28.0,8.1125,male,S
1,1 класс,4.0,81.8583,male,S
1,2 класс,13.0,19.5,female,S
1,1 класс,34.0,26.55,male,S
1,3 класс,5.0,19.2583,female,C
1,1 класс,52.0,30.5,male,S
0,2 класс,36.0,27.75,male,S
0,3 класс,28.0,19.9667,male,S
0,1 класс,30.0,27.75,male,C
1,1 класс,49.0,89.1042,male,C
0,3 класс,28.0,8.05,male,S
1,3 класс,29.0,7.8958,male,C
0,1 класс,65.0,26.55,male,S
1,1 класс,28.0,51.8625,female,S
1,2 класс,50.0,10.5,female,S
0,3 класс,28.0,7.75,male,Q
1,1 класс,48.0,26.55,male,S
0,3 класс,34.0,8.05,male,S
0,1 класс,47.0,38.5,male,S
0,2 класс,48.0,13.0,male,S
0,3 класс,28.0,8.05,male,S
0,3 класс,38.0,7.05,male,S
0,2 класс,28.0,0.0,male,S
0,1 класс,56.0,26.55,male,S
0,3 класс,28.0,7.725,male,Q
1,3 класс,0.75,19.2583,female,C
0,3 класс,28.0,7.25,male,S
0,3 класс,38.0,8.6625,male,S
1,2 класс,33.0,27.75,female,S
1,2 класс,23.0,13.7917,female,C
0,3 класс,22.0,9.8375,female,S
0,1 класс,28.0,52.0,male,S
0,2 класс,34.0,21.0,male,S
0,3 класс,29.0,7.0458,male,S
0,3 класс,22.0,7.5208,male,S
1,3 класс,2.0,12.2875,female,S
0,3 класс,9.0,46.9,male,S
0,2 класс,28.0,0.0,male,S
0,3 класс,50.0,8.05,male,S
1,3 класс,63.0,9.5875,female,S
1,1 класс,25.0,91.0792,male,C
0,3 класс,28.0,25.4667,female,S
1,1 класс,35.0,90.0,female,S
0,1 класс,58.0,29.7,male,C
0,3 класс,30.0,8.05,male,S
1,3 класс,9.0,15.9,male,S
0,3 класс,28.0,19.9667,male,S
0,3 класс,21.0,7.25,male,S
0,1 класс,55.0,30.5,male,S
0,1 класс,71.0,49.5042,male,C
0,3 класс,21.0,8.05,male,S
0,3 класс,28.0,14.4583,male,C
1,1 класс,54.0,78.2667,female,C
0,3 класс,28.0,15.1,male,S
0,1 класс,25.0,151.55,female,S
0,3 класс,24.0,7.7958,male,S
0,3 класс,17.0,8.6625,male,S
0,3 класс,21.0,7.75,female,Q
0,3 класс,28.0,7.6292,female,Q
0,3 класс,37.0,9.5875,female,S
1,1 класс,16.0,86.5,female,S
0,1 класс,18.0,108.9,male,C
1,2 класс,33.0,26.0,female,S
1,1 класс,28.0,26.55,male,S
0,3 класс,28.0,22.525,male,S
1,3 класс,26.0,56.4958,male,S
1,3 класс,29.0,7.75,male,Q
0,3 класс,28.0,8.05,male,S
1,1 класс,36.0,26.2875,male,S
1,1 класс,54.0,59.4,female,C
0,3 класс,24.0,7.4958,male,S
0,1 класс,47.0,34.0208,male,S
1,2 класс,34.0,10.5,female,S
0,3 класс,28.0,24.15,male,Q
1,2 класс,36.0,26.0,female,S
0,3 класс,32.0,7.8958,male,S
1,1 класс,30.0,93.5,female,S
0,3 класс,22.0,7.8958,male,S
0,3 класс,28.0,7.225,male,C
1,1 класс,44.0,57.9792,female,C
0,3 класс,28.0,7.2292,male,C
0,3 класс,40.5,7.75,male,Q
1,2 класс,50.0,10.5,female,S
0,1 класс,28.0,221.7792,male,S
0,3 класс,39.0,7.925,male,S
0,2 класс,23.0,11.5,male,S
1,2 класс,2.0,26.0,female,S
0,3 класс,28.0,7.2292,male,C
0,3 класс,17.0,7.2292,male,C
1,3 класс,28.0,22.3583,female,C
0,3 класс,30.0,8.6625,female,S
1,2 класс,7.0,26.25,female,S
0,1 класс,45.0,26.55,male,S
1,1 класс,30.0,106.425,female,C
0,3 класс,28.0,14.5,male,S
1,1 класс,22.0,49.5,female,C
1,1 класс,36.0,71.0,female,S
0,3 класс,9.0,31.275,female,S
0,3 класс,11.0,31.275,female,S
1,2 класс,32.0,26.0,male,S
0,1 класс,50.0,106.425,male,C
0,1 класс,64.0,26.0,male,S
1,2 класс,19.0,26.0,female,S
1,2 класс,28.0,13.8625,male,C
0,3 класс,33.0,20.525,male,S
1,2 класс,8.0,36.75,male,S
1,1 класс,17.0,110.8833,male,C
0,2 класс,27.0,26.0,male,S
0,3 класс,28.0,7.8292,male,Q
1,3 класс,22.0,7.225,male,C
1,3 класс,22.0,7.775,female,S
0,1 класс,62.0,26.55,male,S
1,1 класс,48.0,39.6,female,C
0,1 класс,28.0,227.525,male,C
1,1 класс,39.0,79.65,female,S
1,3 класс,36.0,17.4,female,S
0,3 класс,28.0,7.75,male,Q
0,3 класс,40.0,7.8958,male,S
0,2 класс,28.0,13.5,male,S
0,3 класс,28.0,8.05,male,S
0,3 класс,28.0,8.05,female,S
0,3 класс,24.0,24.15,male,S
0,3 класс,19.0,7.8958,male,S
0,3 класс,29.0,21.075,female,S
0,3 класс,28.0,7.2292,male,C
1,3 класс,32.0,7.8542,male,S
1,2 класс,62.0,10.5,male,S
1,1 класс,53.0,51.4792,female,S
1,1 класс,36.0,26.3875,male,S
1,3 класс,28.0,7.75,female,Q
0,3 класс,16.0,8.05,male,S
0,3 класс,19.0,14.5,male,S
1,2 класс,34.0,13.0,female,S
1,1 класс,39.0,55.9,female,S
0,3 класс,28.0,14.4583,female,C
1,3 класс,32.0,7.925,male,S
1,2 класс,25.0,30.0,female,S
1,1 класс,39.0,110.8833,female,C
0,2 класс,54.0,26.0,male,S
0,1 класс,36.0,40.125,male,C
0,3 класс,28.0,8.7125,male,C
1,1 класс,18.0,79.65,female,S
0,2 класс,47.0,15.0,male,S
1,1 класс,60.0,79.2,male,C
0,3 класс,22.0,8.05,male,S
0,3 класс,28.0,8.05,male,S
0,3 класс,35.0,7.125,male,S
1,1 класс,52.0,78.2667,female,C
0,3 класс,47.0,7.25,male,S
0,3 класс,28.0,7.75,female,Q
0,2 класс,37.0,26.0,male,S
0,3 класс,36.0,24.15,male,S
1,2 класс,28.0,33.0,female,S
0,3 класс,49.0,0.0,male,S
0,3 класс,28.0,7.225,male,C
1,1 класс,49.0,56.9292,male,C
1,2 класс,24.0,27.0,female,S
0,3 класс,28.0,7.8958,male,S
0,1 класс,28.0,42.4,male,S
0,3 класс,44.0,8.05,male,S
1,1 класс,35.0,26.55,male,C
0,3 класс,36.0,15.55,male,S
0,3 класс,30.0,7.8958,male,S
1,1 класс,27.0,30.5,male,S
1,2 класс,22.0,41.5792,female,C
1,1 класс,40.0,153.4625,female,S
0,3 класс,39.0,31.275,female,S
0,3 класс,28.0,7.05,male,S
1,3 класс,28.0,15.5,female,Q
0,3 класс,28.0,7.75,male,Q
0,3 класс,35.0,8.05,male,S
1,2 класс,24.0,65.0,female,S
0,3 класс,34.0,14.4,male,S
0,3 класс,26.0,16.1,female,S
1,2 класс,4.0,39.0,female,S
0,2 класс,26.0,10.5,male,S
0,3 класс,27.0,14.4542,male,C
1,1 класс,42.0,52.5542,male,S
1,3 класс,20.0,15.7417,male,C
0,3 класс,21.0,7.8542,male,S
0,3 класс,21.0,16.1,male,S
0,1 класс,61.0,32.3208,male,S
0,2 класс,57.0,12.35,male,Q
1,1 класс,21.0,77.9583,female,S
0,3 класс,26.0,7.8958,male,S
0,3 класс,28.0,7.7333,male,Q
1,1 класс,80.0,30.0,male,S
0,3 класс,51.0,7.0542,male,S
1,1 класс,32.0,30.5,male,C
0,1 класс,28.0,0.0,male,S
0,3 класс,9.0,27.9,female,S
1,2 класс,28.0,13.0,female,S
0,3 класс,32.0,7.925,male,S
0,2 класс,31.0,26.25,male,S
0,3 класс,41.0,39.6875,female,S
0,3 класс,28.0,16.1,male,S
0,3 класс,20.0,7.8542,male,S
1,1 класс,24.0,69.3,female,C
0,3 класс,2.0,27.9,female,S
1,3 класс,28.0,56.4958,male,S
1,3 класс,0.75,19.2583,female,C
1,1 класс,48.0,76.7292,male,C
0,3 класс,19.0,7.8958,male,S
1,1 класс,56.0,35.5,male,C
0,3 класс,28.0,7.55,male,S
1,3 класс,23.0,7.55,female,S
0,3 класс,28.0,7.8958,male,S
1,2 класс,18.0,23.0,female,S
0,3 класс,21.0,8.4333,male,S
1,3 класс,28.0,7.8292,female,Q
0,3 класс,18.0,6.75,female,Q
0,2 класс,24.0,73.5,male,S
0,3 класс,28.0,7.8958,male,S
0,3 класс,32.0,15.5,female,Q
0,2 класс,23.0,13.0,male,S
0,1 класс,58.0,113.275,male,C
1,1 класс,50.0,133.65,male,S
0,3 класс,40.0,7.225,male,C
0,1 класс,47.0,25.5875,male,S
0,3 класс,36.0,7.4958,male,S
1,3 класс,20.0,7.925,male,S
0,2 класс,32.0,73.5,male,S
0,2 класс,25.0,13.0,male,S
0,3 класс,28.0,7.775,male,S
0,3 класс,43.0,8.05,male,S
1,1 класс,28.0,52.0,female,S
1,2 класс,40.0,39.0,female,S
0,1 класс,31.0,52.0,male,S
0,2 класс,70.0,10.5,male,S
1,2 класс,31.0,13.0,male,S
0,2 класс,28.0,0.0,male,S
0,3 класс,18.0,7.775,male,S
0,3 класс,24.5,8.05,male,S
1,3 класс,18.0,9.8417,female,S
0,3 класс,43.0,46.9,female,S
1,1 класс,36.0,512.3292,male,C
0,3 класс,28.0,8.1375,female,Q
1,1 класс,27.0,76.7292,male,C
0,3 класс,20.0,9.225,male,S
0,3 класс,14.0,46.9,male,S
0,2 класс,60.0,39.0,male,S
0,2 класс,25.0,41.5792,male,C
0,3 класс,14.0,39.6875,male,S
0,3 класс,19.0,10.1708,male,S
0,3 класс,18.0,7.7958,male,S
1,1 класс,15.0,211.3375,female,S
1,1 класс,31.0,57.0,male,S
1,3 класс,4.0,13.4167,female,C
1,3 класс,28.0,56.4958,male,S
0,3 класс,25.0,7.225,male,C
0,1 класс,60.0,26.55,male,S
0,2 класс,52.0,13.5,male,S
0,3 класс,44.0,8.05,male,S
1,3 класс,28.0,7.7333,female,Q
0,1 класс,49.0,110.8833,male,C
0,3 класс,42.0,7.65,male,S
1,1 класс,18.0,227.525,female,C
1,1 класс,35.0,26.2875,male,S
0,3 класс,18.0,14.4542,female,C
0,3 класс,25.0,7.7417,male,Q
0,3 класс,26.0,7.8542,male,S
0,2 класс,39.0,26.0,male,S
1,2 класс,45.0,13.5,female,S
1,1 класс,42.0,26.2875,male,S
1,1 класс,22.0,151.55,female,S
1,3 класс,28.0,15.2458,male,C
1,1 класс,24.0,49.5042,female,C
0,1 класс,28.0,26.55,male,S
1,1 класс,48.0,52.0,male,S
0,3 класс,29.0,9.4833,male,S
0,2 класс,52.0,13.0,male,S
0,3 класс,19.0,7.65,male,S
1,1 класс,38.0,227.525,female,C
1,2 класс,27.0,10.5,female,S
0,3 класс,28.0,15.5,male,Q
0,3 класс,33.0,7.775,male,S
1,2 класс,6.0,33.0,female,S
0,3 класс,17.0,7.0542,male,S
0,2 класс,34.0,13.0,male,S
0,2 класс,50.0,13.0,male,S
1,1 класс,27.0,53.1,male,S
0,3 класс,20.0,8.6625,male,S
1,2 класс,30.0,21.0,female,S
1,3 класс,28.0,7.7375,female,Q
0,2 класс,25.0,26.0,male,S
0,3 класс,25.0,7.925,female,S
1,1 класс,29.0,211.3375,female,S
0,3 класс,11.0,18.7875,male,C
0,2 класс,28.0,0.0,male,S
0,2 класс,23.0,13.0,male,S
0,2 класс,23.0,13.0,male,S
0,3 класс,28.5,16.1,male,S
0,3 класс,48.0,34.375,female,S
1,1 класс,35.0,512.3292,male,C
0,3 класс,28.0,7.8958,male,S
0,3 класс,28.0,7.8958,male,S
1,1 класс,28.0,30.0,male,S
0,1 класс,36.0,78.85,male,S
1,1 класс,21.0,262.375,female,C
0,3 класс,24.0,16.1,male,S
1,3 класс,31.0,7.925,male,S
0,1 класс,70.0,71.0,male,S
0,3 класс,16.0,20.25,male,S
1,2 класс,30.0,13.0,female,S
0,1 класс,19.0,53.1,male,S
0,3 класс,31.0,7.75,male,Q
1,2 класс,4.0,23.0,female,S
1,3 класс,6.0,12.475,male,S
0,3 класс,33.0,9.5,male,S
0,3 класс,23.0,7.8958,male,S
1,2 класс,48.0,65.0,female,S
1,2 класс,0.67,14.5,male,S
0,3 класс,28.0,7.7958,male,S
0,2 класс,18.0,11.5,male,S
0,3 класс,34.0,8.05,male,S
1,1 класс,33.0,86.5,female,S
0,3 класс,28.0,14.5,male,S
0,3 класс,41.0,7.125,male,S
1,3 класс,20.0,7.2292,male,C
1,1 класс,36.0,120.0,female,S
0,3 класс,16.0,7.775,male,S
1,1 класс,51.0,77.9583,female,S
0,1 класс,28.0,39.6,male,C
0,3 класс,30.5,7.75,female,Q
0,3 класс,28.0,24.15,male,Q
0,3 класс,32.0,8.3625,male,S
0,3 класс,24.0,9.5,male,S
0,3 класс,48.0,7.8542,male,S
0,2 класс,57.0,10.5,female,S
0,3 класс,28.0,7.225,male,C
1,2 класс,54.0,23.0,female,S
0,3 класс,18.0,7.75,male,S
0,3 класс,28.0,7.75,male,Q
1,3 класс,5.0,12.475,female,S
0,3 класс,28.0,7.7375,male,Q
1,1 класс,43.0,211.3375,female,S
1,3 класс,13.0,7.2292,female,C
1,1 класс,17.0,57.0,female,S
0,1 класс,29.0,30.0,male,S
0,3 класс,28.0,23.45,male,S
0,3 класс,25.0,7.05,male,S
0,3 класс,25.0,7.25,male,S
1,3 класс,18.0,7.4958,female,S
0,3 класс,8.0,29.125,male,Q
1,3 класс,1.0,20.575,male,S
0,1 класс,46.0,79.2,male,C
0,3 класс,28.0,7.75,male,Q
0,2 класс,16.0,26.0,male,S
0,3 класс,28.0,69.55,female,S
0,1 класс,28.0,30.6958,male,C
0,3 класс,25.0,7.8958,male,S
0,2 класс,39.0,13.0,male,S
1,1 класс,49.0,25.9292,female,S
1,3 класс,31.0,8.6833,female,S
0,3 класс,30.0,7.2292,male,C
0,3 класс,30.0,24.15,female,S
0,2 класс,34.0,13.0,male,S
1,2 класс,31.0,26.25,female,S
1,1 класс,11.0,120.0,male,S
1,3 класс,0.42,8.5167,male,C
1,3 класс,27.0,6.975,male,S
0,3 класс,31.0,7.775,male,S
0,1 класс,39.0,0.0,male,S
0,3 класс,18.0,7.775,female,S
0,2 класс,39.0,13.0,male,S
1,1 класс,33.0,53.1,female,S
0,3 класс,26.0,7.8875,male,S
0,3 класс,39.0,24.15,male,S
0,2 класс,35.0,10.5,male,S
0,3 класс,6.0,31.275,female,S
0,3 класс,30.5,8.05,male,S
0,1 класс,28.0,0.0,male,S
0,3 класс,23.0,7.925,female,S
0,2 класс,31.0,37.0042,male,C
0,3 класс,43.0,6.45,male,S
0,3 класс,10.0,27.9,male,S
1,1 класс,52.0,93.5,female,S
1,3 класс,27.0,8.6625,male,S
0,1 класс,38.0,0.0,male,S
1,3 класс,27.0,12.475,female,S
0,3 класс,2.0,39.6875,male,S
0,3 класс,28.0,6.95,male,Q
0,3 класс,28.0,56.4958,male,S
1,2 класс,1.0,37.0042,male,C
1,3 класс,28.0,7.75,male,Q
1,1 класс,62.0,80.0,female,S
1,3 класс,15.0,14.4542,female,C
1,2 класс,0.83,18.75,male,S
0,3 класс,28.0,7.2292,male,C
0,3 класс,23.0,7.8542,male,S
0,3 класс,18.0,8.3,male,S
1,1 класс,39.0,83.1583,female,C
0,3 класс,21.0,8.6625,male,S
0,3 класс,28.0,8.05,male,S
1,3 класс,32.0,56.4958,male,S
1,1 класс,28.0,29.7,male,C
0,3 класс,20.0,7.925,male,S
0,2 класс,16.0,10.5,male,S
1,1 класс,30.0,31.0,female,C
0,3 класс,34.5,6.4375,male,C
0,3 класс,17.0,8.6625,male,S
0,3 класс,42.0,7.55,male,S
0,3 класс,28.0,69.55,male,S
0,3 класс,35.0,7.8958,male,C
0,2 класс,28.0,33.0,male,S
1,1 класс,28.0,89.1042,female,C
0,3 класс,4.0,31.275,male,S
0,3 класс,74.0,7.775,male,S
0,3 класс,9.0,15.2458,female,C
1,1 класс,16.0,39.4,female,S
0,2 класс,44.0,26.0,female,S
1,3 класс,18.0,9.35,female,S
1,1 класс,45.0,164.8667,female,S
1,1 класс,51.0,26.55,male,S
1,3 класс,24.0,19.2583,female,C
0,3 класс,28.0,7.2292,male,C
0,3 класс,41.0,14.1083,male,S
0,2 класс,21.0,11.5,male,S
1,1 класс,48.0,25.9292,female,S
0,3 класс,28.0,69.55,female,S
0,2 класс,24.0,13.0,male,S
1,2 класс,42.0,13.0,female,S
1,2 класс,27.0,13.8583,female,C
0,1 класс,31.0,50.4958,male,S
0,3 класс,28.0,9.5,male,S
1,3 класс,4.0,11.1333,male,S
0,3 класс,26.0,7.8958,male,S
1,1 класс,47.0,52.5542,female,S
0,1 класс,33.0,5.0,male,S
0,3 класс,47.0,9.0,male,S
1,2 класс,28.0,24.0,female,C
1,3 класс,15.0,7.225,female,C
0,3 класс,20.0,9.8458,male,S
0,3 класс,19.0,7.8958,male,S
0,3 класс,28.0,7.8958,male,S
1,1 класс,56.0,83.1583,female,C
1,2 класс,25.0,26.0,female,S
0,3 класс,33.0,7.8958,male,S
0,3 класс,22.0,10.5167,female,S
0,2 класс,28.0,10.5,male,S
0,3 класс,25.0,7.05,male,S
0,3 класс,39.0,29.125,female,Q
0,2 класс,27.0,13.0,male,S
1,1 класс,19.0,30.0,female,S
0,3 класс,28.0,23.45,female,S
1,1 класс,26.0,30.0,male,C
0,3 класс,32.0,7.75,male,Q
